Player Name,Name in FPL,Team,Gameweeks
Martial Godo,Godo,Fulham,16
Sander Berge,Berge,Fulham,16
Samuel Amissah,Amissah,Fulham,16
Ali Al-Hamadi,Al-Hamadi,Ipswich,16
Elkan Baggott,Baggott,Ipswich,16
Nathan Broadhead,Broadhead,Ipswich,16
Cameron Burgess,Burgess,Ipswich,16
Wes Burns,Burns,Ipswich,16
Conor Chaplin,Chaplin,Ipswich,16
Harry Clarke,H.Clarke,Ipswich,16
Leif Davis,Davis,Ipswich,16
Liam Delap,Delap,Ipswich,16
George Edmundson,Edmundson,Ipswich,16
Jacob Greaves,Greaves,Ipswich,16
Marcus Myers-Harness,Harness,Ipswich,16
George Hirst,Hirst,Ipswich,16
Cameron Humphreys,Humphreys,Ipswich,16
Omari Giraud-Hutchinson,Hutchinson,Ipswich,16
Ben Johnson,Johnson,Ipswich,16
Freddie Ladapo,Ladapo,Ipswich,16
Massimo Luongo,Luongo,Ipswich,16
Sam Morsy,Morsy,Ipswich,16
Corrie Ndaba,Ndaba,Ipswich,16
Cieran Slicker,Slicker,Ipswich,16
Jack Taylor,Taylor,Ipswich,16
Axel Tuanzebe,Tuanzebe,Ipswich,16
Christian Walton,Walton,Ipswich,16
Luke Woolfenden,Woolfenden,Ipswich,16
Kalvin Phillips,Phillips,Ipswich,16
Arijanet Muric,Muric,Ipswich,16
Conor Townsend,Townsend,Ipswich,16
Sam Szmodics,Szmodics,Ipswich,16
Jens Cajuste,Cajuste,Ipswich,16
Dara O'Shea,O'Shea,Ipswich,16
Jack Clarke,J.Clarke,Ipswich,16
Chiedozie Ogbene,Ogbene,Ipswich,16
Facundo Buonanotte,Buonanotte,Leicester,16
Jordan Ayew,J.Ayew,Leicester,16
Odsonne Edouard,Edouard,Leicester,16
Boubakary SoumarÈ,B.SoumarÈ,Leicester,16
Tom Cannon,Cannon,Leicester,16
Hamza Choudhury,Choudhury,Leicester,16
Conor Coady,Coady,Leicester,16
Patson Daka,Daka,Leicester,16
Bobby De Cordova-Reid,De Cordova-Reid,Leicester,16
Wout Faes,Faes,Leicester,16
Michael Golding,Golding,Leicester,16
Mads Hermansen,Hermansen,Leicester,16
Daniel Iversen,Iversen,Leicester,16
James Justin,Justin,Leicester,16
Victor Kristiansen,Kristiansen,Leicester,16
Wanya MarÁal-Madiv·dua,Marcal,Leicester,16
Stephy Mavididi,Mavididi,Leicester,16
Kasey McAteer,McAteer,Leicester,16
Wilfred Ndidi,Ndidi,Leicester,16
Caleb Okoli,Okoli,Leicester,16
Ricardo Barbosa Pereira,Ricardo,Leicester,16
Harry Souttar,Souttar,Leicester,16
Jakub Stolarczyk,Stolarczyk,Leicester,16
Luke Thomas,Thomas,Leicester,16
Jamie Vardy,Vardy,Leicester,16
Jannik Vestergaard,Vestergaard,Leicester,16
Danny Ward,Ward,Leicester,16
Harry Winks,Winks,Leicester,16
Oliver Skipp,Skipp,Leicester,16
Abdul Fatawu,A.Fatawu,Leicester,16
Will Alves,Alves,Leicester,16
Ben Nelson,Nelson,Leicester,16
Bilal El Khannouss,El Khannouss,Leicester,16
Henry Cartwright,Cartwright,Leicester,16
Alisson Ramses Becker,A.Becker,Liverpool,15
Trent Alexander-Arnold,Alexander-Arnold,Liverpool,15
Stefan Baj?eti? Maquieira,Baj?eti?,Liverpool,15
Conor Bradley,Bradley,Liverpool,15
Bobby Clark,Clark,Liverpool,15
Darwin N˙Òez Ribeiro,Darwin,Liverpool,15
Diogo Teixeira da Silva,Diogo J.,Liverpool,15
Ben Doak,Doak,Liverpool,15
Harvey Elliott,Elliott,Liverpool,15
Endo Wataru,Endo,Liverpool,15
Cody Gakpo,Gakpo,Liverpool,15
Joe Gomez,Gomez,Liverpool,15
Ryan Gravenberch,Gravenberch,Liverpool,15
Curtis Jones,Jones,Liverpool,15
Caoimhin Kelleher,Kelleher,Liverpool,15
Ibrahima KonatÈ,KonatÈ,Liverpool,15
Luis DÌaz,Luis DÌaz,Liverpool,15
Mohamed Salah,M.Salah,Liverpool,15
Alexis Mac Allister,Mac Allister,Liverpool,15
James McConnell,McConnell,Liverpool,15
Tyler Morton,Morton,Liverpool,15
Nathaniel Phillips,N.Phillips,Liverpool,15
Jarell Quansah,Quansah,Liverpool,15
Rhys Williams,R.Williams,Liverpool,15
Andrew Robertson,Robertson,Liverpool,15
Dominik Szoboszlai,Szoboszlai,Liverpool,15
Konstantinos Tsimikas,Tsimikas,Liverpool,15
Virgil van Dijk,Virgil,Liverpool,15
Federico Chiesa,Chiesa,Liverpool,15
VÌtezslav Jaros,Jaros,Liverpool,15
Harvey Davies,Davies,Liverpool,15
Treymaurice Nyoni,Nyoni,Liverpool,15
Amara Nallo,Nallo,Liverpool,15
Manuel Akanji,Akanji,Man City,16
Nathan AkÈ,AkÈ,Man City,16
Bernardo Veiga de Carvalho e Silva,Bernardo,Man City,16
Oscar Bobb,Bobb,Man City,16
Scott Carson,Carson,Man City,16
Kevin De Bruyne,De Bruyne,Man City,16
JÈrÈmy Doku,Doku,Man City,16
Ederson Santana de Moraes,Ederson M.,Man City,16
Phil Foden,Foden,Man City,16
Jack Grealish,Grealish,Man City,16
Joöko Gvardiol,Gvardiol,Man City,16
Erling Haaland,Haaland,Man City,16
Juli·n √lvarez,J.Alvarez,Man City,16
Jo„o Cavaco Cancelo,Jo„o Cancelo,Man City,16
Mateo Kova?i?,Kova?i?,Man City,16
Rico Lewis,Lewis,Man City,16
Matheus Luiz Nunes,Matheus N.,Man City,16
James McAtee,McAtee,Man City,16
Stefan Ortega Moreno,Ortega Moreno,Man City,16
Rodrigo 'Rodri' Hernandez,Rodrigo,Man City,16
R˙ben Gato Alves Dias,R˙ben,Man City,16
John Stones,Stones,Man City,16
Kyle Walker,Walker,Man City,16
S·vio 'Savinho' Moreira de Oliveira,S·vio,Man City,16
Nico O'Reilly,O‚ÄôReilly,Man City,16
Ilkay G¸ndogan,G¸ndogan,Man City,16
Issa KaborÈ,KaborÈ,Man City,16
Jacob Wright,Wright,Man City,16
Jahmai Simpson-Pusey,Simpson-Pusey,Man City,16
Josh Wilson-Esbrand,Wilson-Esbrand,Man City,16
Divin Mubama,Mubama,Man City,16
Amad Diallo,Amad,Man Utd,16
Antony Matheus dos Santos,Antony,Man Utd,16
Bruno Borges Fernandes,B.Fernandes,Man Utd,16
Altay Bayindir,Bayindir,Man Utd,16
Carlos Henrique Casimiro,Casemiro,Man Utd,16
Diogo Dalot Teixeira,Dalot,Man Utd,16
Christian Eriksen,Eriksen,Man Utd,16
Jonny Evans,Evans,Man Utd,16
Alejandro Garnacho,Garnacho,Man Utd,16
Hannibal Mejbri,Hannibal,Man Utd,16
Tom Heaton,Heaton,Man Utd,16
Rasmus H¯jlund,H¯jlund,Man Utd,16
Victor Lindelˆf,Lindelof,Man Utd,16
Harry Maguire,Maguire,Man Utd,16
Kobbie Mainoo,Mainoo,Man Utd,16
Tyrell Malacia,Malacia,Man Utd,16
Lisandro MartÌnez,Martinez,Man Utd,16
Scott McTominay,McTominay,Man Utd,16
Mason Mount,Mount,Man Utd,16
AndrÈ Onana,Onana,Man Utd,16
Facundo Pellistri Rebollo,Pellistri,Man Utd,16
Marcus Rashford,Rashford,Man Utd,16
Luke Shaw,Shaw,Man Utd,16
Joshua Zirkzee,Zirkzee,Man Utd,16
Leny Yoro,Yoro,Man Utd,16
Matthijs de Ligt,De Ligt,Man Utd,16
Noussair Mazraoui,Mazraoui,Man Utd,16
Toby Collyer,Collyer,Man Utd,16
Ethan Wheatley,Wheatley,Man Utd,16
Manuel Ugarte,Ugarte,Man Utd,16
Jack Fletcher,Fletcher,Man Utd,16
Harry Amass,Amass,Man Utd,16
Jayce Fitzgerald,Fitzgerald,Man Utd,16
Godwill Kukonki,Kukonki,Man Utd,16
Alex Murphy,A.Murphy,Newcastle,16
Miguel AlmirÛn Rejala,AlmirÛn,Newcastle,16
Harvey Barnes,Barnes,Newcastle,16
Sven Botman,Botman,Newcastle,16
Bruno Guimar„es Rodriguez Moura,Bruno G.,Newcastle,16
Dan Burn,Burn,Newcastle,16
Martin D˙bravka,D˙bravka,Newcastle,16
Anthony Gordon,Gordon,Newcastle,16
Lewis Hall,Hall,Newcastle,16
Isaac Hayden,Hayden,Newcastle,16
Alexander Isak,Isak,Newcastle,16
Jacob Murphy,J.Murphy,Newcastle,16
Joelinton C·ssio Apolin·rio de Lira,Joelinton,Newcastle,16
Lloyd Kelly,Kelly,Newcastle,16
Emil Krafth,Krafth,Newcastle,16
Garang Kuol,Kuol,Newcastle,16
Jamaal Lascelles,Lascelles,Newcastle,16
Jamal Lewis,Lewis,Newcastle,16
Tino Livramento,Livramento,Newcastle,16
Sean Longstaff,Longstaff,Newcastle,16
Lewis Miley,Miley,Newcastle,16
Odysseas Vlachodimos,Odysseas,Newcastle,16
Nick Pope,Pope,Newcastle,16
John Ruddy,Ruddy,Newcastle,16
Fabian Sch‰r,Sch‰r,Newcastle,16
Matt Targett,Targett,Newcastle,16
Sandro Tonali,Tonali,Newcastle,16
Kieran Trippier,Trippier,Newcastle,16
Joe White,White,Newcastle,16
Joe Willock,Willock,Newcastle,16
Callum Wilson,Wilson,Newcastle,16
Miodrag Pivaö,Pivas,Newcastle,16
William Osula,Osula,Newcastle,16
√lex Moreno Lopera,√lex Moreno,Nott'm Forest,16
Ola Aina,Aina,Nott'm Forest,16
Elliot Anderson,Anderson,Nott'm Forest,16
Taiwo Awoniyi,Awoniyi,Nott'm Forest,16
Willy Boly,Boly,Nott'm Forest,16
Josh Bowler,Bowler,Nott'm Forest,16
Carlos Miguel dos Santos Pereira,C.Miguel,Nott'm Forest,16
Eric da Silva Moreira,Da Silva Moreira,Nott'm Forest,16
Danilo dos Santos de Oliveira,Danilo,Nott'm Forest,16
Emmanuel Dennis,Dennis,Nott'm Forest,16
Nicol·s DomÌnguez,Dominguez,Nott'm Forest,16
Anthony Elanga,Elanga,Nott'm Forest,16
Morgan Gibbs-White,Gibbs-White,Nott'm Forest,16
Callum Hudson-Odoi,Hudson-Odoi,Nott'm Forest,16
Alex Mighten,Mighten,Nott'm Forest,16
Murillo Santiago Costa dos Santos,Murillo,Nott'm Forest,16
Neco Williams,N.Williams,Nott'm Forest,16
Omar Richards,O.Richards,Nott'm Forest,16
Lewis O'Brien,O'Brien,Nott'm Forest,16
Andrew Omobamidele,Omobamidele,Nott'm Forest,16
Jonathan Panzo,Panzo,Nott'm Forest,16
Ibrahim SangarÈ,SangarÈ,Nott'm Forest,16
Matz Sels,Sels,Nott'm Forest,16
Harry Toffolo,Toffolo,Nott'm Forest,16
Hwang Ui-jo,Ui-jo,Nott'm Forest,16
Chris Wood,Wood,Nott'm Forest,16
Joe Worrall,Worrall,Nott'm Forest,16
Ryan Yates,Yates,Nott'm Forest,16
James Ward-Prowse,Ward-Prowse,Nott'm Forest,16
Nikola Milenkovi?,Milenkovi?,Nott'm Forest,16
Jo„o Pedro Ferreira Silva,Jota Silva,Nott'm Forest,16
RamÛn Sosa,Sosa,Nott'm Forest,16
Felipe Rodrigues da Silva,Morato,Nott'm Forest,16
Aaron Ramsdale,Ramsdale,Southampton,16
Cameron Archer,Archer,Southampton,16
Lesley Ugochukwu,Ugochukwu,Southampton,16
Ryan Fraser,Fraser,Southampton,16
Carlos Alcaraz Dur·n,Alcaraz,Southampton,16
Samuel Amo-Ameyaw,Amo-Ameyaw,Southampton,16
Joe Aribo,Aribo,Southampton,16
Adam Armstrong,Armstrong,Southampton,16
Gavin Bazunu,Bazunu,Southampton,16
Jan Bednarek,Bednarek,Southampton,16
Armel Bella-Kotchap,Bella-Kotchap,Southampton,16
James Bree,Bree,Southampton,16
Shea Charles,Charles,Southampton,16
Samuel Edozie,Edozie,Southampton,16
Ronnie Edwards,Edwards,Southampton,16
Taylor Harwood-Bellis,Harwood-Bellis,Southampton,16
Kamaldeen Sulemana,Kamaldeen,Southampton,16
Adam Lallana,Lallana,Southampton,16
Juan Larios LÛpez,Larios,Southampton,16
Mateusz Lis,Lis,Southampton,16
Joe Lumley,Lumley,Southampton,16
Ryan Manning,Manning,Southampton,16
SÈkou Mara,Mara,Southampton,16
Alex McCarthy,McCarthy,Southampton,16
Paul Onuachu,Onuachu,Southampton,16
Will Smallbone,Smallbone,Southampton,16
Jack Stephens,Stephens,Southampton,16
Ross Stewart,Stewart,Southampton,16
Sugawara Yukinari,Sugawara,Southampton,16
Charlie Taylor,Taylor,Southampton,16
Kyle Walker-Peters,Walker-Peters,Southampton,16
Nathan Wood-Gordon,Wood,Southampton,16
Maxwel Cornet,Cornet,Southampton,16
