FPL Name-Team,Player Name,Name in FPL,Position,Team,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),Starts,Minutes Played,Goals,xG,xG per 90,Assists,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Missed,Penalties Saved,Saves,Saves per 90,Bonus,Total BPS,Influence,Influence Rank (Position),Influence Rank (All),Creativity,Creativity Rank (Position),Creativity Rank (All),Threat,Threat Rank (Position),Threat Rank (All),ICT Index,ICT Index Rank (Position),ICT Index Rank (All),Total Points,Season Value (Points Per Million),Overall Rank by Position,Overall Rank
Veltman-Brighton,JoÎl Veltman,Veltman,DEF,Brighton,1.1,2.8,47,164,19,1694,0,0.47,0.02,0,1.31,0.07,1.78,0.09,6,0.32,24,1.28,24.83,1.32,0,0,0,0,7,249,273,95,257,147.2,68,250,59,102,322,48.1,91,294,59,13.7,77,192
Verbruggen-Brighton,Bart Verbruggen,Verbruggen,GK,Brighton,2.5,2.9,23,149,36,3240,0,0,0,1,0.01,0,0.01,0,7,0.19,58,1.61,53.1,1.48,0,0,91,2.53,6,366,849.8,7,21,10,18,466,0,70,691,85.8,8,185,103,22.9,19,124
Webster-Brighton,Adam Webster,Webster,DEF,Brighton,0.1,2.8,46,163,11,885,0,0.25,0.03,1,0.28,0.03,0.53,0.06,4,0.41,11,1.12,14.26,1.45,0,0,0,0,2,167,198.4,119,315,49.7,124,362,55,107,331,30.2,122,363,39,9.1,168,480
Welbeck-Brighton,Danny Welbeck,Welbeck,FWD,Brighton,6.9,4.2,9,33,24,2109,10,9.58,0.41,5,1.36,0.06,10.94,0.47,7,0.3,37,1.58,37.4,1.6,0,0,0,0,21,484,550.2,13,119,331.3,12,126,676,17,41,155.8,15,68,125,22.7,11,56
Wieffer-Brighton,Mats Wieffer,Wieffer,MID,Brighton,0.1,2.1,119,274,10,1003,1,0.8,0.07,5,1,0.09,1.8,0.16,2,0.18,22,1.97,18.89,1.7,0,0,0,0,4,243,328.8,100,226,230.4,129,187,129,138,241,68.5,122,239,52,11.1,204,541
Gruda-Brighton,Brajan Gruda,Gruda,MID,Brighton,0.1,2.1,128,285,8,676,1,1.15,0.15,4,1.93,0.26,3.08,0.41,1,0.13,15,2,12.66,1.69,0,0,0,0,1,176,196.6,143,317,311.6,97,137,187,120,192,69.1,121,236,45,8.3,182,500
Ayari-Brighton,Yasin Ayari,Ayari,MID,Brighton,0.1,2.2,112,260,22,1958,2,2.51,0.12,1,2.62,0.12,5.13,0.24,7,0.32,28,1.29,30.15,1.39,0,0,0,0,3,358,363.2,87,200,507.5,57,73,247,89,138,111.7,77,129,74,14.8,205,542
Moran-Brighton,Andrew Moran,Moran,MID,Brighton,0,0,340,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,790,0,340,789,0,338,782,0,340,790,0,0,329,776
Rushworth-Brighton,Carl Rushworth,Rushworth,GK,Brighton,0.1,0,57,594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,585,0,40,566,0,20,519,0,57,585,0,0,67,503
Georginio-Brighton,Georginio Rutter,Georginio,MID,Brighton,0.3,3.4,48,106,19,1651,5,4.57,0.25,6,1.67,0.09,6.24,0.34,6,0.33,29,1.58,27.9,1.52,0,0,0,0,1,288,355.4,92,208,281.8,110,158,404,54,83,103,84,145,95,19,91,301
F.Kadƒ±oƒülu-Brighton,Ferdi Kadioglu,F.Kadƒ±oƒülu,DEF,Brighton,0.1,3.2,30,125,5,385,1,0.44,0.1,0,0.31,0.07,0.75,0.17,2,0.47,8,1.87,9.44,2.21,0,0,0,0,0,59,116.4,134,378,83.7,102,318,40,119,355,24,131,383,19,4.3,167,477
O'Riley-Brighton,Matt O'Riley,O'Riley,MID,Brighton,0,2.4,100,231,11,929,2,2.76,0.27,3,2.04,0.2,4.8,0.47,2,0.19,20,1.94,14.27,1.38,0,0,0,0,2,209,211.4,139,301,322.5,90,129,219,102,161,75.3,113,218,50,9.1,209,554
Samuels-Brighton,Imari Samuels,Samuels,DEF,Brighton,0,0,210,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,607,0,209,594,0,198,553,0,211,607,0,0,214,619
Cahill-Brighton,Killian Cahill,Cahill,GK,Brighton,0.9,0,59,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,590,0,42,571,0,23,527,0,59,590,0,0,29,221
McConville-Brighton,Ruairi McConville,McConville,DEF,Brighton,0,0,227,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,632,0,227,620,0,218,581,0,228,632,0,0,240,704
Slater-Brighton,Jacob Slater,Slater,DEF,Brighton,0,0,239,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,646,0,239,634,0,230,595,0,240,646,0,0,220,635
GÛmez-Brighton,Diego GÛmez,GÛmez,MID,Brighton,0,1.9,146,322,4,507,1,0.82,0.15,1,1.16,0.21,1.98,0.36,0,0,13,2.31,9.28,1.65,0,0,0,0,2,130,124.2,172,371,143.2,159,257,69,172,313,33.6,173,348,30,5.5,265,653
Knight-Brighton,Joe Knight,Knight,MID,Brighton,0,0,318,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,753,0,317,750,0,309,733,0,317,753,0,0,321,764
Cashin-Brighton,Eiran Cashin,Cashin,DEF,Brighton,0,0.5,194,556,0,19,0,0,0,0,0,0,0,0,0,0,2,9.47,0.44,2.08,0,0,0,0,0,-2,7,181,509,0.6,185,503,0,263,677,0.7,186,530,1,0.2,227,672
Charlie Tasker-Brighton,Charlie Tasker,Charlie Tasker,DEF,Brighton,0,0,232,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,637,0,232,625,0,223,586,0,233,637,0,0,261,771
Freddie Simmonds-Brighton,Freddie Simmonds,Freddie Simmonds,DEF,Brighton,0,0,244,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,651,0,244,639,0,236,601,0,245,651,0,0,265,783
Harry Howell-Brighton,Harry Howell,Harry Howell,MID,Brighton,0,1,228,503,0,6,0,0,0,0,0.05,0.75,0.05,0.75,0,0,0,0,0,0,0,0,0,0,0,5,2,251,543,0.9,244,499,6,231,452,0.9,243,527,1,0.2,339,790
Andrey Santos-Chelsea,Andrey Nascimento dos Santos,Andrey Santos,MID,Chelsea,0,0,306,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,737,0,305,733,0,297,717,0,305,737,0,0,328,775
¬ngelo-Chelsea,¬ngelo Gabriel Borges Damaceno,¬ngelo,MID,Chelsea,0.1,0,299,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,729,0,298,725,0,289,707,0,298,729,0,0,167,462
B.Badiashile-Chelsea,BenoÓt Badiashile,B.Badiashile,DEF,Chelsea,0.1,1.4,134,400,3,332,0,0,0,0,0.08,0.02,0.08,0.02,0,0,5,1.36,5.34,1.45,0,0,0,0,0,35,66,155,427,12.6,160,448,0,246,621,7.9,161,457,7,1.7,169,482
Bergstrˆm-Chelsea,Lucas Bergstrˆm,Bergstrˆm,GK,Chelsea,0.2,0,58,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,586,0,41,567,0,21,520,0,58,586,0,0,50,335
Bettinelli-Chelsea,Marcus Bettinelli,Bettinelli,GK,Chelsea,0.4,0,49,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,575,0,30,555,0,10,507,0,48,575,0,0,44,290
Caicedo-Chelsea,MoisÈs Caicedo Corozo,Caicedo,MID,Chelsea,1,2.6,82,195,38,3351,1,0.81,0.02,4,2.82,0.08,3.63,0.1,12,0.32,42,1.13,45.42,1.22,0,0,0,0,4,650,627.6,29,83,568.8,51,62,95,155,280,129.2,64,99,98,20,65,209
Casadei-Chelsea,Cesare Casadei,Casadei,MID,Chelsea,0.1,0,264,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,678,0,262,674,0,251,649,0,261,678,0,0,169,465
Chalobah-Chelsea,Trevoh Chalobah,Chalobah,DEF,Chelsea,0.7,3.7,9,68,23,1969,3,1.98,0.09,1,0.64,0.03,2.62,0.12,6,0.27,25,1.14,27.15,1.24,0,0,0,0,11,379,496.4,55,145,124.2,75,272,222,25,158,84.6,56,187,93,21.1,90,234
Chukwuemeka-Chelsea,Carney Chukwuemeka,Chukwuemeka,MID,Chelsea,0,0,329,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,771,0,328,768,0,323,755,0,328,771,0,0,223,579
Colwill-Chelsea,Levi Colwill,Colwill,DEF,Chelsea,2.4,3.1,35,132,35,3150,2,1.92,0.05,1,1.31,0.04,3.23,0.09,10,0.29,41,1.17,43.52,1.24,0,0,0,0,6,461,692,24,60,214.3,43,194,185,36,195,109.4,35,133,109,24.8,46,125
Cucurella-Chelsea,Marc Cucurella Saseta,Cucurella,DEF,Chelsea,11.8,3.7,11,72,33,2988,5,2.79,0.08,2,2.39,0.07,5.18,0.15,9,0.27,38,1.14,39.94,1.2,0,0,0,0,14,533,668.6,28,71,350.6,25,116,358,5,94,137.9,12,90,133,24.6,14,35
D.D.Fofana-Chelsea,David Datro Fofana,D.D.Fofana,FWD,Chelsea,0.1,0,83,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,797,0,83,797,0,83,793,0,83,797,0,0,73,540
Deivid-Chelsea,Deivid Washington de Souza EugÍnio,Deivid,FWD,Chelsea,0.1,0,79,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,780,0,77,778,0,78,769,0,78,780,0,0,64,418
Dewsbury-Hall-Chelsea,Kiernan Dewsbury-Hall,Dewsbury-Hall,MID,Chelsea,0.1,1.4,195,417,2,257,0,0.22,0.08,1,0.22,0.08,0.44,0.16,0,0,3,1.05,3.88,1.36,0,0,0,0,1,71,57.4,198,435,47.4,200,367,21,210,401,12.6,201,428,18,3.3,160,452
Enzo-Chelsea,Enzo Fern·ndez,Enzo,MID,Chelsea,4.1,3.8,29,60,32,2943,6,6.23,0.19,8,6.11,0.19,12.34,0.38,10,0.31,37,1.13,38.06,1.16,0,0,0,0,11,691,761.6,10,41,1131.6,4,4,517,39,60,241.3,9,13,135,28.7,30,96
Gallagher-Chelsea,Conor Gallagher,Gallagher,MID,Chelsea,0.1,0,345,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,799,0,345,799,0,344,798,0,345,799,0,0,149,429
Gilchrist-Chelsea,Alfie Gilchrist,Gilchrist,DEF,Chelsea,0,0,221,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,624,0,220,611,0,210,571,0,222,624,0,0,221,636
Gusto-Chelsea,Malo Gusto,Gusto,DEF,Chelsea,1.4,1.9,103,319,19,1853,0,1.44,0.07,1,1.91,0.09,3.35,0.16,4,0.19,26,1.26,27.43,1.33,0,0,0,0,2,285,336.8,83,222,394.6,22,103,147,57,226,87.9,50,173,60,12.2,68,171
James-Chelsea,Reece James,James,DEF,Chelsea,1.1,2.8,53,173,12,1057,1,0.45,0.04,2,1.15,0.1,1.6,0.14,3,0.26,14,1.19,16.1,1.37,0,0,0,0,5,223,207.6,110,303,202.1,48,209,56,105,329,46.7,94,301,54,11.2,78,197
Kellyman-Chelsea,Omari Kellyman,Kellyman,MID,Chelsea,0.1,0,259,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,669,0,257,663,0,245,633,0,256,669,0,0,185,509
Lavia-Chelsea,RomÈo Lavia,Lavia,MID,Chelsea,0.4,1.6,171,370,11,792,0,0.25,0.03,1,0.38,0.04,0.63,0.07,3,0.34,11,1.25,14.33,1.63,0,0,0,0,0,125,113.2,179,381,121.7,168,275,7,226,444,24.4,189,380,26,5.8,87,280
Lukaku-Chelsea,Romelu Lukaku Bolingoli,Lukaku,FWD,Chelsea,0.2,0,85,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,800,0,85,800,0,85,800,0,85,800,0,0,61,378
M.Sarr-Chelsea,Malang Sarr,M.Sarr,DEF,Chelsea,0,0,261,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,692,0,261,688,0,259,667,0,262,692,0,0,262,777
Madueke-Chelsea,Noni Madueke,Madueke,MID,Chelsea,3.2,3.8,30,64,27,2028,7,9.62,0.43,5,2.86,0.13,12.48,0.56,6,0.27,28,1.24,29.55,1.31,0,0,0,0,12,425,479.2,56,150,475.1,62,80,998,6,11,195.3,29,37,120,20,34,109
Marc Guiu-Chelsea,Marc Guiu Paz,Marc Guiu,FWD,Chelsea,0.5,1,59,514,0,71,0,0,0,0,0.02,0.03,0.02,0.03,0,0,2,2.54,1.46,1.85,0,0,0,0,0,11,4.4,53,521,11.8,51,453,6,57,454,2.2,55,505,3,0.6,45,269
Mudryk-Chelsea,Mykhailo Mudryk,Mudryk,MID,Chelsea,0.2,1,246,528,1,145,0,0.24,0.15,0,0.66,0.41,0.9,0.56,0,0,2,1.24,3.28,2.04,0,0,0,0,0,26,23.2,218,474,31.5,211,398,31,202,379,8.5,212,452,7,1.1,122,377
N.Jackson-Chelsea,Nicolas Jackson,N.Jackson,FWD,Chelsea,6.2,4,15,49,28,2220,10,11.68,0.47,6,1.9,0.08,13.58,0.55,11,0.45,24,0.97,28.47,1.15,0,0,0,0,17,417,546.4,14,121,368.3,8,113,976,6,12,187.4,8,44,121,15.7,12,60
Nkunku-Chelsea,Christopher Nkunku,Nkunku,MID,Chelsea,2,2.2,114,263,9,904,3,5.11,0.51,2,1.01,0.1,6.12,0.61,2,0.2,16,1.59,16.25,1.62,0,0,0,0,5,190,230.2,129,280,204.9,140,207,339,64,99,77.1,109,210,60,10.5,46,138
Palmer-Chelsea,Cole Palmer,Palmer,MID,Chelsea,34.3,5.8,3,4,36,3193,15,16.79,0.47,10,9.53,0.27,26.32,0.74,10,0.28,41,1.16,43.88,1.24,1,0,0,0,35,952,1068.2,3,4,1259.2,2,2,1052,5,9,338,3,3,214,20.4,3,5
Petrovi?-Chelsea,Djordje Petrovi?,Petrovi?,GK,Chelsea,0.1,0,81,682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,675,0,78,671,0,64,645,0,81,675,0,0,55,405
Renato Veiga-Chelsea,Renato Palma Veiga,Renato Veiga,MID,Chelsea,0.1,1,218,487,1,176,0,0.16,0.08,0,0.15,0.08,0.31,0.16,1,0.51,2,1.02,3.17,1.62,0,0,0,0,0,22,30.4,211,464,9.2,235,468,19,211,405,5.9,221,474,7,1.6,161,453
S·nchez-Chelsea,Robert S·nchez,S·nchez,GK,Chelsea,6.2,3.9,8,50,32,2880,0,0,0,0,0.02,0,0.02,0,10,0.31,34,1.06,38.55,1.2,0,1,95,2.97,11,470,755.6,10,42,20,7,431,0,69,670,77.5,10,208,126,28,11,62
Tosin-Chelsea,Tosin Adarabioyo,Tosin,DEF,Chelsea,0.3,3.2,29,122,15,1403,1,0.93,0.06,1,0.23,0.01,1.16,0.07,7,0.45,14,0.9,19.62,1.26,0,0,0,0,7,305,352.2,76,212,48.2,127,366,92,85,284,49.6,89,292,71,16.9,114,294
W.Fofana-Chelsea,Wesley Fofana,W.Fofana,DEF,Chelsea,0.2,1.9,102,312,14,1172,0,0.44,0.03,0,0.18,0.01,0.62,0.04,2,0.15,13,1,14.76,1.13,0,0,0,0,2,162,200.2,117,312,85,99,314,33,126,370,31.9,118,355,26,6,127,331
Sancho-Chelsea,Jadon Sancho,Sancho,MID,Chelsea,0.9,2.8,76,179,19,1754,3,2.13,0.11,5,3.1,0.16,5.23,0.27,7,0.36,24,1.23,23.66,1.21,0,0,0,0,3,367,340,95,219,523.2,55,70,414,50,78,127.5,65,100,86,13.9,69,217
Neto-Chelsea,Pedro Lomba Neto,Neto,MID,Chelsea,1.4,3,65,147,24,2262,4,3.48,0.14,6,4.47,0.18,7.95,0.32,8,0.32,25,0.99,27.98,1.11,0,0,0,0,9,434,492,55,147,762.7,23,27,545,34,54,180,37,53,104,17,55,167
Wiley-Chelsea,Caleb Wiley,Wiley,DEF,Chelsea,0,0,214,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,616,0,213,603,0,202,562,0,215,616,0,0,230,679
J¯rgensen-Chelsea,Filip J¯rgensen,J¯rgensen,GK,Chelsea,0.4,3,20,140,6,540,0,0,0,0,0,0,0,0,1,0.17,9,1.5,8.83,1.47,0,0,20,3.33,0,59,157.6,32,341,0,72,657,0,55,623,15.9,32,417,18,4.3,42,286
Jo„o FÈlix-Chelsea,Jo„o FÈlix Sequeira,Jo„o FÈlix,MID,Chelsea,0.4,2,137,304,3,362,1,2.3,0.57,2,0.45,0.11,2.75,0.68,1,0.25,4,0.99,5.96,1.48,0,0,0,0,0,90,88,189,406,95.4,180,305,141,133,230,32.3,176,353,24,4.1,88,282
Rak-Sakyi-Chelsea,Samuel Rak-Sakyi,Rak-Sakyi,MID,Chelsea,0,0,311,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,744,0,310,740,0,302,724,0,310,744,0,0,312,747
George-Chelsea,Tyrique George,George,MID,Chelsea,0,2.1,117,272,1,177,1,0.2,0.1,1,0.26,0.13,0.46,0.23,1,0.51,0,0,1.41,0.72,0,0,0,0,0,55,67.4,194,422,72.7,190,330,32,199,374,17.1,195,407,17,3.8,254,640
Acheampong-Chelsea,Josh Acheampong,Acheampong,DEF,Chelsea,0.1,1,165,471,2,168,0,0.22,0.12,0,0.01,0.01,0.23,0.13,0,0,3,1.61,2.09,1.12,0,0,0,0,0,8,13.6,177,494,2.5,175,486,13,151,423,2.9,173,498,4,1,186,538
Amougou-Chelsea,Mathis Amougou,Amougou,MID,Chelsea,0,1,230,506,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,253,546,0.9,245,500,0,317,747,0.2,253,547,1,0.2,325,770
Anselmino-Chelsea,Aaron Anselmino,Anselmino,DEF,Chelsea,0,0,250,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,659,0,250,647,0,243,610,0,251,659,0,0,252,741
Mheuka-Chelsea,Shumaira Mheuka,Mheuka,FWD,Chelsea,0,1,55,500,0,1,0,0.06,5.4,0,0,0,0.06,5.4,0,0,0,0,0,0,0,0,0,0,0,5,3,56,533,0,67,749,17,55,412,2,57,510,1,0.2,79,603
Samuels-Smith-Chelsea,IshÈ Samuels-Smith,Samuels-Smith,DEF,Chelsea,0,0,226,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,631,0,226,619,0,217,580,0,227,631,0,0,251,739
Genesis Antwi-Chelsea,Genesis Antwi,Genesis Antwi,DEF,Chelsea,0,0,240,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,647,0,240,635,0,232,597,0,241,647,0,0,259,762
Nketiah-Crystal Palace,Eddie Nketiah,Nketiah,FWD,Crystal Palace,0.7,1.8,38,343,9,1018,3,5.94,0.53,2,0.83,0.07,6.77,0.6,2,0.18,17,1.5,14.29,1.26,0,0,0,0,4,186,192.2,28,320,163.7,25,234,475,24,68,82.5,25,194,53,9,41,246
Chilwell-Crystal Palace,Ben Chilwell,Chilwell,DEF,Crystal Palace,0.5,1.6,122,371,1,254,1,0.25,0.09,0,0.88,0.31,1.13,0.4,0,0,4,1.42,2.84,1.01,0,0,0,0,0,54,99.6,144,402,69.2,109,336,37,122,360,20.7,136,395,13,2.8,100,258
Ahamada-Crystal Palace,Naouirou Ahamada,Ahamada,MID,Crystal Palace,0.1,0,283,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,710,0,282,707,0,273,687,0,282,710,0,0,177,491
C.Doucour√©-Crystal Palace,Cheick DoucourÈ,C.Doucour√©,MID,Crystal Palace,0,1.5,179,386,4,443,0,0.4,0.08,1,0.11,0.02,0.51,0.1,1,0.2,6,1.22,7.53,1.53,0,0,0,0,0,71,58.6,196,432,25.7,218,418,23,206,395,10.8,208,439,19,4,219,571
C.Richards-Crystal Palace,Chris Richards,C.Richards,DEF,Crystal Palace,0.2,2.8,51,168,22,1921,1,1.33,0.06,1,0.6,0.03,1.93,0.09,7,0.33,31,1.45,29.78,1.4,0,0,0,0,2,249,470.8,59,153,45,129,371,181,39,199,69.6,74,235,68,15.5,139,364
Chadi Riad-Crystal Palace,Chadi Riad Dnanou,Chadi Riad,DEF,Crystal Palace,0,1,174,480,1,90,0,0,0,0,0.02,0.02,0.02,0.02,0,0,2,2,1.39,1.39,0,0,0,0,0,3,18.2,174,486,1.3,183,495,0,251,632,2,175,508,1,0.2,198,572
Clyne-Crystal Palace,Nathaniel Clyne,Clyne,DEF,Crystal Palace,0.1,1.4,135,401,5,477,0,0.02,0,0,0.24,0.05,0.26,0.05,1,0.19,11,2.08,10.11,1.91,0,0,0,0,0,48,66.6,153,425,51.8,122,359,8,161,440,12.4,152,429,18,4.2,163,466
Ebiowei-Crystal Palace,Malcolm Ebiowei,Ebiowei,MID,Crystal Palace,0,0,276,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,702,0,275,698,0,266,679,0,275,702,0,0,331,780
Eze-Crystal Palace,Eberechi Eze,Eze,MID,Crystal Palace,14.6,4.4,15,28,31,2588,8,10.39,0.36,8,4.67,0.16,15.06,0.52,10,0.35,34,1.18,35.03,1.22,1,0,0,0,15,605,685,18,62,849.2,13,15,691,23,38,222.4,11,16,148,21.1,8,27
GuÈhi-Crystal Palace,Marc GuÈhi,GuÈhi,DEF,Crystal Palace,5.7,3.4,21,101,34,3059,3,1.87,0.06,2,2.01,0.06,3.88,0.12,11,0.32,42,1.24,41.55,1.22,0,0,0,0,11,492,827,9,28,237.6,38,183,247,17,137,131,15,98,116,24.7,21,65
Henderson-Crystal Palace,Dean Henderson,Henderson,GK,Crystal Palace,11.7,3.6,13,78,38,3420,0,0.01,0,0,0.02,0,0.03,0,11,0.29,51,1.34,50.33,1.32,0,1,104,2.74,8,466,853.6,6,20,30,4,406,4,2,465,88.6,6,172,135,29.3,5,36
Holding-Crystal Palace,Rob Holding,Holding,DEF,Crystal Palace,0.1,0,252,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,664,0,252,655,0,245,620,0,253,664,0,0,182,519
Hughes-Crystal Palace,Will Hughes,Hughes,MID,Crystal Palace,0,2,133,299,24,2100,0,1.09,0.05,4,2.64,0.11,3.73,0.16,10,0.43,31,1.33,31.64,1.36,0,0,0,0,3,278,335.2,98,224,462.6,65,83,90,159,286,87.5,96,177,67,13.7,217,569
Kamada-Crystal Palace,Daichi Kamada,Kamada,MID,Crystal Palace,0.1,1.3,201,426,15,1545,0,1.12,0.07,0,1.55,0.09,2.67,0.16,3,0.17,27,1.57,25.74,1.5,0,0,0,0,0,246,219.2,132,291,314.1,95,135,145,131,228,68.2,123,240,45,8.8,166,459
Lerma-Crystal Palace,Jefferson Lerma SolÌs,Lerma,MID,Crystal Palace,0.1,1.8,153,334,26,2270,0,1.07,0.04,1,1.75,0.07,2.82,0.11,6,0.24,36,1.43,33.55,1.33,0,0,0,0,2,326,401.4,74,179,190.2,145,216,197,114,181,78.7,106,205,58,12.1,200,531
Mateta-Crystal Palace,Jean-Philippe Mateta,Mateta,FWD,Crystal Palace,8.3,4.1,13,41,33,2642,14,13.77,0.47,2,2.28,0.08,16.05,0.55,9,0.31,37,1.26,37.94,1.29,0,0,0,0,27,576,671.6,7,69,405.4,5,100,800,11,24,187.3,9,45,150,20,10,47
M.FranÁa-Crystal Palace,Matheus FranÁa de Oliveira,M.FranÁa,MID,Crystal Palace,0.2,2.2,107,252,0,52,1,0.28,0.48,0,0.18,0.31,0.46,0.79,0,0,0,0,0.4,0.69,0,0,0,0,0,34,48.4,200,440,1.2,241,496,66,173,315,11.5,202,432,9,2,110,347
Matthews-Crystal Palace,Remi Matthews,Matthews,GK,Crystal Palace,0.4,0,50,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,578,0,32,558,0,12,511,0,50,578,0,0,39,271
Mitchell-Crystal Palace,Tyrick Mitchell,Mitchell,DEF,Crystal Palace,2.1,3.3,27,115,37,3090,0,1.31,0.04,6,3.67,0.11,4.98,0.15,12,0.35,46,1.34,46.45,1.35,0,0,0,0,4,455,630.8,30,78,559.1,11,64,170,44,205,136.2,13,91,123,25.6,52,135
MuÒoz-Crystal Palace,Daniel MuÒoz,MuÒoz,DEF,Crystal Palace,19.3,3.8,7,62,37,3229,4,4.92,0.14,6,3.46,0.1,8.38,0.24,11,0.31,46,1.28,46.3,1.29,0,0,0,0,9,480,816.6,11,30,634.2,8,47,524,1,58,197.6,1,34,142,27.3,5,18
Ozoh-Crystal Palace,David Ozoh,Ozoh,MID,Crystal Palace,0,0,304,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,735,0,303,731,0,295,715,0,303,735,0,0,342,794
Rak-Sakyi-Crystal Palace,Jesurun Rak-Sakyi,Rak-Sakyi,MID,Crystal Palace,0,0,278,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,704,0,277,700,0,268,681,0,277,704,0,0,250,633
Schlupp-Crystal Palace,Jeffrey Schlupp,Schlupp,MID,Crystal Palace,0,1,233,511,0,95,0,0.17,0.16,0,0.14,0.13,0.31,0.29,0,0,3,2.84,1.53,1.45,0,0,0,0,0,43,22.8,219,476,42.9,203,374,46,187,350,11,206,436,12,2.6,212,562
Ward-Crystal Palace,Joel Ward,Ward,DEF,Crystal Palace,0.1,0.5,193,554,1,71,0,0,0,0,0.01,0.01,0.01,0.01,0,0,2,2.54,1.57,1.99,0,0,0,0,0,-3,5.8,182,511,10.3,162,461,0,248,625,1.6,181,518,1,0.2,174,493
Wharton-Crystal Palace,Adam Wharton,Wharton,MID,Crystal Palace,0.1,2.1,120,275,16,1314,0,0.38,0.03,2,2.17,0.15,2.55,0.18,4,0.27,21,1.44,19.34,1.32,0,0,0,0,0,244,261.2,120,264,381.4,77,106,69,171,312,71.2,116,230,42,8.9,144,412
Turner-Crystal Palace,Matt Turner,Turner,GK,Crystal Palace,7.2,0,53,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,581,0,36,562,0,16,515,0,53,581,0,0,9,53
I.Sarr-Crystal Palace,IsmaÔla Sarr,I.Sarr,MID,Crystal Palace,5.3,3.9,26,55,30,2708,8,10.82,0.36,7,6.82,0.23,17.64,0.59,10,0.33,39,1.3,38.63,1.28,0,0,0,0,14,542,675,21,66,618,44,53,866,11,20,215.9,13,18,149,27.1,20,70
