FPL Name-Team,Player Name,Name in FPL,Position,Team,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),Starts,Minutes Played,Goals,xG,xG per 90,Assists,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Missed,Penalties Saved,Saves,Saves per 90,Bonus,Total BPS,Influence,Influence Rank (Position),Influence Rank (All),Creativity,Creativity Rank (Position),Creativity Rank (All),Threat,Threat Rank (Position),Threat Rank (All),ICT Index,ICT Index Rank (Position),ICT Index Rank (All),Total Points,Season Value (Points Per Million),Overall Rank by Position,Overall Rank
Kesler-Hayden-Aston Villa,Kaine Kesler-Hayden,Kesler-Hayden,DEF,Aston Villa,0,0,212,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,614,0,211,601,0,200,560,0,213,614,0,0,247,727
Konsa-Aston Villa,Ezri Konsa Ngoyo,Konsa,DEF,Aston Villa,9.5,3,38,141,33,2936,2,1.29,0.04,0,0.61,0.02,1.9,0.06,8,0.25,45,1.38,43.82,1.34,0,0,0,0,10,448,532.8,46,126,123.9,76,273,166,45,206,82.4,60,195,103,22.9,15,41
Maatsen-Aston Villa,Ian Maatsen,Maatsen,DEF,Aston Villa,1.6,2,96,295,10,1125,1,0.87,0.07,2,2.43,0.19,3.3,0.26,3,0.24,16,1.28,17.31,1.38,0,0,0,0,0,204,252,102,272,293.4,30,148,197,31,179,74.3,68,222,57,12.7,60,155
Marschall-Aston Villa,Filip Marschall,Marschall,GK,Aston Villa,0,0,66,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,610,0,55,597,0,36,556,0,66,610,0,0,81,799
Martinez-Aston Villa,Emiliano MartÌnez Romero,Martinez,GK,Aston Villa,13.3,3,22,143,37,3195,0,0,0,0,0.02,0,0.02,0,8,0.23,47,1.32,44.99,1.27,0,1,100,2.82,6,457,839.6,8,24,20,9,433,0,76,772,86,7,184,111,22.2,4,31
McGinn-Aston Villa,John McGinn,McGinn,MID,Aston Villa,0.7,2.3,105,244,27,2217,1,3.1,0.13,4,2.7,0.11,5.8,0.24,8,0.32,34,1.38,35.03,1.42,0,0,0,0,1,360,277.2,115,253,500.6,58,75,263,86,129,103.7,83,144,78,15,78,245
Mings-Aston Villa,Tyrone Mings,Mings,DEF,Aston Villa,0.2,3.4,20,99,12,1119,0,0.88,0.07,1,0.23,0.02,1.11,0.09,4,0.32,11,0.88,13.2,1.06,0,0,0,0,5,207,220.4,106,287,49.2,125,363,74,91,301,34.6,116,344,47,10.7,129,343
Nedeljkovic-Aston Villa,Kosta Nedeljkovi?,Nedeljkovic,DEF,Aston Villa,0.5,1,158,462,0,121,0,0,0,0,0.02,0.01,0.02,0.01,0,0,4,2.98,2.23,1.66,0,0,0,0,0,11,22.8,172,475,7.2,164,470,0,186,530,3,172,494,5,1.3,103,264
Olsen-Aston Villa,Robin Olsen,Olsen,GK,Aston Villa,0.1,2.2,36,253,1,225,0,0,0,0,0,0,0,0,1,0.4,6,2.4,5.5,2.2,0,0,8,3.2,0,23,59.2,38,431,0,79,685,0,66,662,5.9,38,475,9,2,56,413
Pau-Aston Villa,Pau Torres,Pau,DEF,Aston Villa,0.8,2.3,74,235,23,2019,0,0.51,0.02,0,0.43,0.02,0.94,0.04,5,0.22,33,1.47,29.69,1.32,0,0,0,0,3,254,350.6,77,213,84.5,100,315,102,77,271,54,85,285,55,13.1,87,227
Ramsey-Aston Villa,Jacob Ramsey,Ramsey,MID,Aston Villa,0.3,2.3,106,246,19,1616,1,1.59,0.09,4,2.18,0.12,3.77,0.21,5,0.28,26,1.45,23.99,1.34,0,0,0,0,3,265,235.4,127,278,307.9,100,141,245,90,139,78.7,107,206,66,12.2,95,311
Rogers-Aston Villa,Morgan Rogers,Rogers,MID,Aston Villa,25.8,4.4,14,27,37,3115,8,6.49,0.19,11,5.24,0.15,11.73,0.34,10,0.29,40,1.16,43.7,1.26,0,0,0,0,15,534,730.6,13,51,722.7,30,35,689,24,39,214.2,14,19,161,27.8,4,9
Sinisalo-Aston Villa,Viljami Sinisalo,Sinisalo,GK,Aston Villa,0,0,63,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,603,0,50,588,0,31,547,0,63,603,0,0,82,801
Sousa-Aston Villa,Lino da Cruz Sousa,Sousa,DEF,Aston Villa,0,0,223,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,626,0,222,613,0,212,573,0,224,626,0,0,194,559
Tielemans-Aston Villa,Youri Tielemans,Tielemans,MID,Aston Villa,1.1,3.4,49,109,35,3025,3,3.31,0.1,7,5.83,0.17,9.14,0.27,7,0.21,46,1.37,43.87,1.31,1,0,0,0,15,686,799.6,7,34,963.1,8,8,333,67,103,209.6,18,23,121,22,62,198
Watkins-Aston Villa,Ollie Watkins,Watkins,FWD,Aston Villa,29,4.9,6,13,31,2593,16,15.12,0.52,8,2.07,0.07,17.19,0.59,10,0.35,40,1.39,38.62,1.34,0,0,0,0,32,631,766,6,40,345.2,10,118,1148,4,6,223.8,5,15,186,20.2,3,8
Disasi-Aston Villa,Axel Disasi,Disasi,DEF,Aston Villa,0.4,2.5,62,203,9,851,1,0.37,0.04,0,0.37,0.04,0.74,0.08,3,0.32,12,1.27,16.7,1.77,0,0,0,0,0,133,169.6,123,336,75.6,105,328,51,113,337,29.7,123,365,33,7.9,110,285
Onana-Aston Villa,Amadou Onana,Onana,MID,Aston Villa,2.1,2.5,87,210,20,1613,3,2.12,0.12,0,0.84,0.05,2.96,0.17,6,0.33,23,1.28,23.66,1.32,0,0,0,0,5,324,358,88,203,194.8,143,213,215,105,165,77,110,211,65,13.5,45,136
Rashford-Aston Villa,Marcus Rashford,Rashford,MID,Aston Villa,3.7,3.8,32,66,16,1414,6,4.67,0.3,4,3.43,0.22,8.1,0.52,7,0.45,15,0.95,21.68,1.38,0,0,0,0,9,333,398.4,76,181,451.1,68,87,369,60,91,122.1,70,110,95,14.4,32,102
Bogarde-Aston Villa,Lamare Bogarde,Bogarde,DEF,Aston Villa,0.2,0.8,180,537,5,473,0,0.04,0.01,0,0.13,0.02,0.17,0.03,0,0,11,2.09,9.28,1.77,0,0,0,0,0,22,84.8,147,410,33.3,140,396,15,147,417,13.3,149,425,6,1.5,128,333
Swinkels-Aston Villa,Sil Swinkels,Swinkels,DEF,Aston Villa,0.1,0,222,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,625,0,221,612,0,211,572,0,223,625,0,0,184,527
Zych-Aston Villa,Oliwier Zych,Zych,GK,Aston Villa,0.5,0,71,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,627,0,60,614,0,41,574,0,71,627,0,0,37,265
Young-Aston Villa,Kadan Young,Young,MID,Aston Villa,0.2,0,265,686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,680,0,263,675,0,253,651,0,263,680,0,0,132,390
Broggio-Aston Villa,Ben Broggio,Broggio,MID,Aston Villa,0,0,320,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,758,0,319,755,0,311,738,0,319,758,0,0,289,706
Jimoh-Aston Villa,Jamaldeen Jimoh,Jimoh,MID,Aston Villa,0,0,317,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,752,0,316,748,0,308,732,0,316,752,0,0,315,753
Malen-Aston Villa,Donyell Malen,Malen,MID,Aston Villa,0.2,2.4,98,228,2,296,3,2.15,0.65,0,0.15,0.05,2.3,0.7,0,0,6,1.82,4.77,1.45,0,0,0,0,3,112,138.2,167,362,42.7,204,375,208,107,167,38.5,165,331,34,6.4,120,375
A. Garcia-Aston Villa,AndrÈs GarcÌa,A. Garcia,DEF,Aston Villa,0.1,1.1,152,448,5,316,0,0.04,0.01,0,0.49,0.14,0.53,0.15,0,0,5,1.42,6.49,1.85,0,0,0,0,0,26,45.6,162,443,68.4,111,340,7,163,445,12,153,431,8,1.8,190,548
